Player,PlayerID,OldPP,WeightedUP,AverageDelta,AverageFactor
jabahh,10380158,16657.78645937278,17078.242501210854,20.005908234168473,-0.11966838453970834
Kama,13380270,15830.35479413156,17067.768714172387,31.72883456204397,0.04699675759457955
WakaiYuki,7883418,17283.404068359636,17066.66401225067,-12.130934623971868,0.33919747495500063
wudci,2590257,17649.207257246733,17048.015885065815,-16.331637956520616,0.3262838933615127
LAZER DIM 700,10162611,16864.688773688507,17038.750873803227,3.949435354919235,0.043122313276841025
muccher,31144837,16982.105034483626,17024.70123316767,-10.16123338758074,0.2588929269616198
NoSin,6142837,16363.88238036171,17023.45298235239,2.951781746407532,0.26160596333332475
MineFrostID,12159899,17090.93508761224,17023.44454220725,2.1691925045872438,0.24718238026248474
Mastasz,1876565,16904.899014780458,16979.018830159926,7.629364395765225,0.020397757735696586
Zeisen Udongein,7892320,16476.637831123386,16970.761521441476,16.681018529415923,-0.004221634685629752
Mike Tyson,14764185,17355.606290423435,16964.882284624317,-16.25901861247281,0.3049088200572626
-Hirata,10188022,17071.892861722456,16961.211736789224,-19.265116369697303,0.42247893667294406
kyojaku,16270893,17504.99766009276,16960.959244734313,-21.91297871976415,0.3882053305378836
GET LOVED,13705417,16540.62887771019,16949.954155889944,1.0766416574067739,0.2110433478070186
Varvalian,3345902,16883.3742441161,16931.288700917346,-1.7633186675487458,0.08285841763409771
Salih_Ege,27214524,17495.29488425897,16927.389069368113,-7.4066708521554485,0.16916323378325313
papercandle,12353810,16909.304972320202,16927.306547691554,-1.2301361035656169,0.16439496385234414
haga1115,6574823,15574.3749679851,16923.024258648606,46.639495125639975,0.037304992023871095
lil bread,14992852,17066.304689575576,16920.01103294211,-14.332166801572289,0.3998907450045899
Umbre,2766034,17143.337894845532,16903.092526675286,-5.085138292144599,0.1231022100870798
JapWhite,7068158,17518.78904659646,16896.32128180732,-10.688706985717108,0.2731221845245906
Juztan,14272451,17229.259731654405,16880.09133350839,-12.206955424185589,0.25126556659799676
runnysunny,15339747,17543.98237800563,16863.976059806784,-16.36114048761161,0.3600000561953535
Gonzah,12434652,16544.206046698506,16854.237637980383,19.214534463624013,0.08697967009535958
Nongsa,2572468,16644.348129071335,16841.787936883924,16.398626293559804,-0.05663343835318844
nase,15428284,16982.147845769912,16831.64155875847,-4.420480514443762,0.30746917632159354
Zoomeree,18802561,17239.519440743854,16831.576198776813,-17.159870659591373,0.40790271642272424
desuqe,9712285,16392.15779949153,16830.721953655404,6.970863901529105,0.21905414380262467
T A K A O,1334384,17160.961988875846,16823.18752130992,-17.713228931578133,0.4638257460574898
TheKusoAimer,13735210,17063.61916656306,16817.729165908422,-14.55456272773974,0.3004195148323794
badeu,1473890,16072.770099630807,16809.109777720532,25.169459562614716,-0.19159855268325096
Stixe,18351160,16710.74018091335,16803.19167363945,-1.507093086296686,0.15537963961831147
Paraqeet,9942252,15701.671692786831,16793.467998844455,30.557660712917485,-0.07376697314936645
Fleh,7780605,17337.627672470397,16761.549955474173,-15.045182958745622,0.3617117664139413
_Shield,1860489,15519.286991960182,16758.46124705716,35.43278196034213,0.049198218250720155
_fefe,8133880,16190.132003109356,16753.678276301787,0.3123129988040489,0.29956222641722746
hqze,28071599,17111.98437251582,16733.3639062477,-11.160736084426485,0.2798270074136999
Salikuu,13287112,17234.230937467033,16727.122690946795,-5.816617441400641,0.12201418870678654
gabyyy,8481621,16262.129032632027,16725.622185012395,4.399632006717014,0.23555672283159929
Cole Cassidy,6787940,16189.343601682092,16715.29652519805,20.472207853969067,-0.04137726276357303
Yseri,11159039,16776.21811622683,16708.040919601175,-7.168598237768525,0.409420953335497
Jemzsee,11553627,16572.801219997982,16700.682074987806,-0.627830839130528,0.1817350729274626
okinamo,3765989,16289.64164803703,16694.55065017375,15.530198316042824,-0.04936387360124963
Ashdoll,6806754,16193.635045535197,16683.535582915407,25.209579496405293,-0.1843831118068197
misha awa,14503423,15926.120294218328,16683.14470015856,17.25027363681808,0.14144386046173818
Reimu Hakurei,12686213,16658.165109558064,16665.71431262767,-0.8242026804822842,0.08496073269760547
Pinguinzi,9414229,15528.406621935506,16665.2875802271,24.94628566894811,0.015597207728267084
Alyra,11113213,17107.07941739463,16661.137851177897,-13.349132012271225,0.32561073118620376
