BeatmapID,TotalWeightedPP,AppearanceCount,Placements,Title,DifficultyName
5127731,14449.7369,75,"56,62,68,76,28,34,87,98,31,72,97,80,73,26,49,64,26,13,38,85,24,14,69,81,26,74,33,9,84,3,62,20,73,1,36,16,48,24,44,71,36,23,69,15,26,13,23,60,47,37,17,26,13,88,19,61,29,98,1,39,75,29,14,25,50,89,15,80,24,3,30,14,4,17,65",bbydoll (nightcore & cut ver.),pick me
5073932,3120.8291,25,"57,90,46,47,55,62,38,74,12,35,28,73,14,41,99,30,77,67,24,56,45,43,18,63,15",American Girls (Juztan Remix),Share's Extreme
5761998,222.7628,5,"58,100,91,31,83",Killer Headache (feat. Pierce Jordan),MITA'S EXTRA
4900540,2735.4451,34,"60,85,75,94,97,74,72,93,84,80,51,46,65,22,94,27,41,95,56,70,23,14,20,27,85,96,27,55,62,58,29,59,39,81",erase u (sped up & cut ver.),bye!
4867583,3621.8011,34,"62,64,84,64,60,36,70,20,21,36,29,81,78,63,62,40,61,8,41,100,68,83,43,67,53,91,42,12,17,39,54,77,74,18",For The Love Of The Game (Nightcore & Cut Ver.),Our Lives on the Run
1059776,3562.0021,13,"66,58,87,7,36,4,4,15,45,83,46,39,19",Cinderella Romance,Cinderella
4915278,3969.0789,31,"68,88,90,69,73,67,93,55,33,83,100,66,27,32,85,41,58,25,32,89,58,19,1,10,44,54,9,61,82,30,66",Diamond Happy (TV Size),Fuxi's Extreme
5349820,15426.6654,59,"72,70,94,45,34,15,58,15,22,32,55,42,8,27,51,19,89,41,50,26,2,19,24,44,4,80,3,45,66,36,42,61,15,60,7,5,1,5,63,75,15,20,4,60,29,36,2,12,63,29,62,25,22,89,52,93,69,32,1",Bluenation,Eden
5013480,2335.557,16,"73,66,50,38,20,13,28,99,22,50,69,20,20,60,50,50",CTRL + ALT + DEL (Cut Ver.),Ome to Mirai's Alt + F4
5102505,2626.4258,35,"74,38,51,90,85,68,34,58,59,56,44,71,53,59,78,51,83,91,61,37,53,5,56,77,89,37,81,28,18,42,54,46,92,37,76",Valour Against All Odds,Extra
4982315,3271.3076,32,"75,60,62,75,54,44,75,88,81,77,4,31,41,82,85,52,63,51,43,14,96,44,26,21,66,46,28,30,46,62,83,62",Kuusou Mesorogiwi (TV Size),Visionary's Extreme
1502678,26802.6861,118,"77,91,76,75,45,58,75,41,51,49,53,72,52,40,78,42,69,33,66,16,88,94,33,22,75,84,48,44,8,15,88,13,25,7,27,81,87,17,17,34,95,15,11,39,2,16,7,74,92,19,20,62,39,78,39,3,3,1,32,73,14,27,23,24,72,74,19,78,34,15,6,25,88,98,1,96,82,46,47,15,37,46,1,40,28,34,91,90,84,77,34,65,18,24,6,17,68,30,20,27,52,12,28,23,54,6,20,67,10,27,3,13,39,26,2,6,36,1",Fallen Angel (el poco maro Remix),Heaven's Feel
4889331,16506.111,92,"78,22,37,100,78,90,23,83,15,10,30,97,20,56,76,81,84,11,100,10,82,7,40,34,45,47,78,13,79,66,56,30,38,3,32,42,84,63,21,30,83,49,31,71,67,28,87,29,55,87,80,20,73,26,5,26,2,41,87,86,10,26,19,67,15,19,19,85,72,32,69,28,56,57,10,19,57,1,53,43,37,22,33,17,40,31,12,18,44,99,40,33",Polar 240,Tylerderp's Extra
5271748,11844.5923,75,"79,90,83,8,83,65,40,30,83,81,80,27,36,92,41,32,51,71,16,15,56,10,89,82,90,41,22,27,21,33,30,69,95,29,53,24,62,26,26,54,30,39,10,85,16,65,48,23,44,21,69,45,53,16,73,30,79,9,23,92,76,81,32,99,44,20,15,11,2,13,66,43,75,13,71",Of Our Time (osu! Edit),PikA's Extreme
5271749,3771.9241,29,"80,21,23,65,44,89,76,68,83,76,18,58,28,2,64,85,85,22,34,39,65,17,40,90,39,23,83,32,72",Of Our Time (osu! Edit),Ram's Extreme
5088528,7218.1361,53,"82,41,57,90,22,28,69,37,19,21,72,25,28,6,20,87,59,30,81,23,39,95,49,33,44,75,70,19,19,52,77,71,38,7,60,59,79,10,47,92,70,24,20,48,18,85,79,74,51,80,82,62,43",Valour Against All Odds,Extreme
5533081,11686.7788,53,"85,96,71,45,65,67,48,15,76,63,49,12,10,22,85,66,47,57,18,6,66,5,31,97,73,36,57,33,8,13,11,42,14,20,37,6,54,66,40,7,41,18,23,81,9,1,7,70,38,18,97,65,15",Why Worry (Nightcore & Cut Ver.),Stand Up
4834695,1898.1623,42,"86,79,67,76,44,72,89,92,30,87,85,49,47,46,96,76,72,78,76,18,58,79,48,36,47,63,57,90,78,56,48,97,57,72,57,65,46,73,50,63,69,69",Favorite Liar (Cut Ver.),My Favorite Liar
4979260,124.3761,4,"88,63,47,87",Break Of A Heartache,Don't Ruin My Life
3980889,75.6855,3,"89,73,54",EVERYBODY DO THE FLOP,kowari's Extreme
5271750,3419.0731,18,"90,72,87,43,32,91,46,21,41,43,9,73,1,82,100,3,59,21",Of Our Time (osu! Edit),Reform's Painted Skies
4836716,6199.7735,45,"91,70,82,32,15,83,60,93,1,78,11,55,99,86,50,98,8,53,33,21,14,71,40,35,28,34,70,52,58,56,62,43,41,94,64,90,12,38,59,99,88,74,76,14,45",my love life needs a lobotomy,MY EXTRA NEEDS A LOBOTOMY
4850780,6438.3307,70,"92,66,55,74,57,61,53,25,46,58,92,86,75,82,61,98,33,23,33,31,94,46,36,54,100,48,14,81,79,64,37,65,77,98,58,37,100,82,11,58,24,70,99,49,64,26,45,50,73,1,70,50,42,75,46,60,93,58,40,68,27,93,54,21,37,64,51,12,47,68","Chug Jug With You, but i can't anymore",PikA's Extra
4852495,5150.1888,36,"93,65,62,26,23,34,28,8,89,64,46,22,83,82,50,77,1,25,5,87,73,92,54,89,61,24,87,65,60,43,81,71,82,36,11,53",Sentou! Battle Tower,Reform's Extra
4833931,7348.8639,42,"95,28,79,61,91,49,15,36,43,17,54,92,90,58,16,18,2,90,19,3,32,45,57,60,49,44,64,36,71,77,18,22,18,1,49,52,42,73,68,65,36,100","Chug Jug With You, but i can't anymore",Chug Jug With Me
5100152,1031.4802,8,"96,67,74,14,44,25,60,26",i like the way you kiss me (DETHVEDA Frenchcore Edit),</3
5212632,684.8656,11,"97,84,90,77,21,58,81,56,99,30,50",GIRLS' LEGEND U (Game Ver.),Victorious
5288368,3064.2817,23,"99,93,26,9,37,66,49,58,23,73,45,43,78,73,11,89,89,84,48,16,17,88,39",Heart Attack (Rock Ver.) (Nightcore & Cut Ver.),Broken Love
4824244,2073.8059,7,"12,68,12,32,12,49,75",Die,Uri's Expert
